Core1,Core2
3639,4468
3640,4438
3641,4470
3642,4414
3643,4467
3647,4490
3647,4516
3650,4502
3651,4477
3653,4501
3654,4507
3656,4452
3657,4490
3658,4438
3660,4477
3662,4500
3663,4508
3663,4512
3664,4500
3665,4504
3667,4490
3668,4477
3670,4494
3672,4477
3673,4477
3677,4477
3678,4515
3679,4531
3680,4477
3681,4477
3682,4522
3683,4501
3684,4517
3685,4523
3686,4522
3687,4520
3688,4523
3690,4490
3692,4490
3693,4527
3694,4525
3695,4477
3696,4520
3697,4531
3698,4477
3699,4477
3700,4477
3702,4524
3706,4524
3707,7770
3707,7771
3708,7768
3708,9310
3709,7758
3710,7780
3712,7762
3712,7788
3712,7790
3712,9320
3712,9323
3712,9325
3712,9327
3712,9328
3712,9329
3712,9341
3713,7766
3715,7769
3715,7780
3715,7792
3715,9306
3715,9307
3715,9312
3715,9314
3715,9318
3716,7780
3717,7765
3718,7765
3719,7782
3720,7782
3721,7767
3721,7777
3721,9309
3721,9333
3723,7786
3725,7762
3727,7763
3727,7764
3727,7775
3727,7783
3727,9316
3728,7772
3728,9311
3728,9315
3729,7789
3729,7790
3729,9313
3731,7785
3731,9321
3732,7860
3732,9340
3733,7777
3733,9332
3733,9335
3734,7780
3734,7795
3734,7837
3734,9326
3735,7780
3736,9326
3737,3780
3737,7774
3737,7781
3737,7805
3737,7807
3737,7809
3737,7813
3737,7817
3737,7825
3737,9317
3737,9326
3737,9337
3737,9338
3737,9346
3739,7763
3740,7763
3742,7814
3743,7789
3744,7785
3745,7763
3746,9326
3748,7789
3749,7845
3751,7880
3752,7777
3752,9304
3752,9336
3752,9339
3757,7832
3758,9326
3759,7763
3761,7780
3762,7780
3764,7951
3764,9353
3766,7832
3767,7856
3768,7790
3768,9330
3769,7898
3769,9353
3771,7790
3772,7841
3774,7863
3775,7818
3780,9326
3782,7923
3782,7924
3782,9324
3784,7841
3785,7880
3786,7831
3787,7964
3787,7992
3787,7993
3787,9360
3787,9409
3788,7881
3789,7880
3789,9362
3789,9368
3789,9373
3789,9374
3789,9377
3790,7880
3790,9349
3791,7887
3792,7919
3793,8019
3793,9359
3794,7880
3795,7915
3796,7912
3796,9375
3797,7895
3797,9365
3798,7906
3799,7910
3799,9331
3800,7893
3801,7881
3801,7911
3801,7912
3801,7942
3801,9352
3801,9361
3801,9366
3801,9376
3801,9389
3801,9391
3802,7917
3803,7908
3804,7914
3805,7921
3805,9345
3806,7865
3806,9371
3808,7926
3808,9370
3809,7925
3809,7928
3809,7948
3809,9348
3809,9356
3809,9369
3809,9372
3809,9378
3809,9379
3809,9380
3809,9386
3809,9387
3810,7894
3810,9381
3811,7927
3812,7931
3813,7872
3814,7912
3814,7937
3814,9390
3814,9393
3814,9394
3815,7916
3815,9324
3816,7905
3816,7960
3816,7967
3816,9402
3817,7936
3817,7940
3817,9382
3817,9383
3817,9388
3820,9324
3823,7957
3824,7948
3825,7925
3827,9383
3828,9379
3829,9324
3831,7936
3831,7954
3831,7961
3831,9383
3831,9403
3832,9383
3833,7946
3833,9395
3834,9383
3835,7952
3835,9397
3836,7947
3836,9396
3836,9405
3837,7972
3837,9354
3838,7953
3839,7948
3839,9400
3840,9383
3841,9399
3844,9402
3845,7962
3845,9402
3846,9383
3847,7905
3847,7968
3847,7969
3847,7982
3847,9401
3848,9402
3849,9402
3850,7975
3851,9401
3852,7905
3853,8007
3853,9384
3853,9426
3854,7984
3854,9385
3855,8008
3856,7991
3857,7990
3857,7992
3857,8000
3857,8003
3857,8006
3857,9410
3857,9411
3857,9412
3857,9414
3858,7990
3859,7990
3860,7999
3860,9415
3861,7997
3862,8002
3862,9411
3863,7978
3863,9359
3864,8005
3864,8033
3864,9432
3864,9433
3864,9440
3865,8004
3865,9358
3866,8005
3866,8047
3866,9322
3867,9359
3868,7999
3869,8006
3869,9357
3870,8006
3870,9420
3871,7999
3871,9419
3872,8009
3873,8030
3874,8014
3874,9425
3875,8004
3875,9358
3876,8025
3876,8026
3876,8034
3876,9416
3876,9421
3877,8026
3877,9413
3879,8012
3881,8028
3882,8013
3883,8031
3883,8032
3883,8538
3883,9418
3883,9445
3884,8043
3884,9438
3885,8012
3886,8025
3886,9421
3887,8039
3887,9436
3889,8038
3889,9417
3890,8046
3891,8038
3892,8005
3893,8048
3893,8054
3893,9441
3894,8051
3894,9441
3895,8050
3895,9439
3896,8049
3896,9442
3897,8050
3897,8061
3897,9443
3897,9446
3897,9448
3899,8055
3899,9423
3900,8053
3900,8056
3900,9441
3901,8058
3902,8045
3903,9442
3904,8063
3904,8067
3904,8068
3904,9442
3904,9449
3905,8058
3905,9444
3906,8060
3906,9442
3907,8058
3907,9355
3908,8072
3908,9451
3909,7934
3909,9452
3911,4546
3912,4551
3913,4549
3915,4547
3917,3978
3917,4553
3917,5280
3920,4558
3920,4559
3921,4555
3923,4564
3926,4566
3929,4565
3933,4571
3935,4574
3936,4575
3939,4575
