Cores,Area
1497,98000000.01
1499,38000000
1500,399000000
1501,295000000
1502,21000000
1503,2364000000
1504,107000000
1505,197000000
1506,59000000
1507,153000000
1508,61999999.99
1509,1186000000
1510,38000000
1511,208000000
1512,145000000
1513,402000000
1514,20000000
1515,170000000
1516,39000000
1517,25000000
1518,20999999.98
1519,2386375000
1520,110000000
1522,2220000000
1524,3219000000
1525,14000000
1527,29000000
1528,674000000
1534,1584500000
1536,999000000
1537,10000000
1540,122000000
1541,289000000
1543,269000000
1544,185000000
1545,576000000
1546,108000000
1547,140000000
1548,53000000
1549,207000000
1550,13000000
1551,680000000
1552,178000000
1553,66000000
1554,23000000
1556,153000000
1567,58999999.99
1568,580212.6045
1569,97000000.01
1570,38000000
1571,261000000
1572,235000000
1574,70000000
1575,323000000
1576,128000000
1577,52000000
1578,69000000
1579,266000000
1580,308000000
1581,220000000
1582,953000000
1583,173000000
1584,31000000
1588,436000000
1589,53000000
1590,268000000
1591,22999999.99
1592,1119000000
1593,63000000
1594,83000000
1595,379000000
1596,69000000
1597,36417596.02
1598,858798.2998
1599,30958542.52
1600,18000000
1601,7993491.598
1602,82000000
1603,49000000
1604,19467794.98
1605,19000000
1606,242000000
1607,50454350.79
1608,10000000.01
1610,43999999.99
1611,18000000
1612,105000000
1613,196504270.4
1614,399110.273
1615,336647678.3
1616,13000000
1617,60853585.12
1619,27303524.57
1620,139000000
1621,16000804.52
1622,99000000
1623,106000000
1624,37000000
1625,169000000
1626,154000000
1627,94000000
1628,13000000
1630,105000000
1631,46000000
1632,16000000
1633,480000000
1634,1676328777
1635,17000000
1637,12000000
1638,17000000
1639,15000000
1642,64000000
1643,90000000
1644,26000000
1645,14000000
1646,11000000
1647,58000000.01
1648,13000000
1649,103000000
1650,39000000
1651,406000000
1652,4718500000
1653,29999999.98
1654,47000000.02
1656,89999999.97
1657,207000000
1658,186000000
1659,209000000
1660,14000000
1662,82000000.01
1663,84000000
1664,610000000
1665,47000000
1666,50000000
1667,82000000
1668,23000000
1669,97000000
1670,142000000
1671,16000000
1672,19000000
1673,196000000
1675,12000000
1676,93000000
1680,34000000
1683,80000000
1684,207000000
1685,20999999.99
1686,188000000
1687,15000000
1688,34000000
1689,12000000
1690,16000000
1691,17000000
1692,17000000
1693,1179000000
1694,215000000
1695,104000000
1697,85999999.99
1698,102000000
1699,51000000
1701,448000000
1702,80000000
1704,34000000
1705,22000000
1706,11000000
1707,36000000
1708,38000000
1709,156000000
1710,13000000
1711,21000000
1712,28000000
1713,66000000
1714,13000000
1715,13000000
1716,79000000
1717,25000000
1718,49000000
1719,204000000
1720,54000000
1721,18000000
1722,167000000
1723,48999999.99
1725,14000000
1727,20000000
1729,34000000
1730,12000000
1731,20000000
1732,37000000
1733,92000000
1734,296000000
1735,83000000
1736,3863000000
1737,76000000
1738,90000000
1739,5281000000
1740,11000000
1741,15000000
1742,85000000
1743,53000000
1744,60000000
1745,184000000
1746,16000000
1747,123500000
1748,68000000
1749,15000000
1750,5016000000
1751,137000000
1753,128000000
1754,65000000
1755,124000000
1756,168000000
1757,218000000
1759,182000000
1760,160000000
1761,35000000
1763,148000000
1764,60000000
1766,26000000
1767,30000000
1768,64500000
1769,32000000
1770,31000000
1771,16000000
1772,30000000
1773,15000000
1775,20500000.04
1776,34000000
1778,17000000
1779,117000000
1780,26000000
1781,181000000
1782,108000000
1783,80000000
1784,12000000
1785,64000000
1786,13000000
1787,35000000
1788,80000000.01
1790,238000000
1791,16000000
1792,145000000
1794,20000000
1795,231000000
1796,23000000
1797,94000000
1798,103000000
1799,17000000.01
1801,30000000
1802,54000000
1803,16000000
1804,18000000
1805,63000000
1806,21000000
1807,124000000
1808,90999999.99
1809,33000000
1810,62500000
1811,64000000
1812,21000000
1813,36000000
1814,12000000
1815,65000000
1816,76000000
1817,150000000
1818,217000000
1819,12000000
1820,132000000
1822,62000000
1823,132000000
1824,30500000.01
1825,137000000
1826,16000000
1828,99000000.01
1829,186000000
1830,53999999.99
1831,626000000
1832,280000000
1833,27000000
1834,25000000
1835,15000000
1836,13000000
1837,102000000
1838,12000000
1839,18000000
1840,64000000
1842,42000000
1843,47000000
1844,142000000
1845,136000000
1846,98000000
1847,15000000
1848,74000000
1850,130000000
1851,15000000
1852,139000000
1853,59000000.02
1854,114000000
1855,17000000
1856,29000000
1857,422000000
1858,18000000
1860,181000000
1861,25000000
1862,162000000
1863,91000000.01
1864,10000000
1865,26000000
1866,374000000
1867,23000000
1868,104000000
1870,21000000
1871,40000000
1872,28000000
1873,85000000
1875,18000000
1876,112000000
1877,118000000
1878,89000000
1879,455000000
1880,14000000
1881,63000000
1882,179000000
1883,20000000
1884,346000000
1885,12000000
1886,41000000
1887,180000000
1888,25000000
1889,106000000
1891,332000000
1892,41000000
1893,97000000
1894,28000000
1895,254000000
1896,32000000
1897,21000000
1899,77000000
1900,158000000
1901,41000000
1902,579000000
1903,638000000
1904,66999999.99
1905,33000000
1906,47000000
1907,56999999.97
1908,44000000
1909,20000000
1910,18000000
1912,59000000
1913,15000000
1914,18000000
1915,753000000
1916,30000000
1917,60000000
1918,43000000
1919,32000000.02
1920,10000000
1921,250000000
1922,178000000
1923,47000000
1924,14999999.99
1925,47000000
1926,30000000
1927,229000000
1929,805000000
1930,62000000
1931,15000000.02
1932,323000000
1933,84000000
1934,102000000
1935,23000000
1936,261000000
1937,41000000
1938,17000000
1939,20000000
1940,14000000.02
1942,984500000
1943,14000000
1944,80000000
1946,117000000
1947,38000000
1949,63000000
1950,28000000
1952,14000000
1954,126000000
1955,39000000
1957,410000000
1958,57000000
1959,17000000
1960,17000000
1961,192000000
1962,134000000
1963,24999999.99
1964,107000000
1965,93000000
1966,11000000
1967,19000000
1968,22000000
1969,11000000
1970,395500000
1971,193000000
1972,893000000
1973,67000000
1974,683000000
1975,25000000
1976,34000000
1977,68000000
1978,16000000
1979,27000000
1980,12000000
1981,13000000
1983,43000000
1984,19000000
1985,47000000
1988,24000000
1989,79000000
1990,163000000
1991,25000000
1992,13000000
1993,548000000
1994,266000000
1995,25999999.97
1996,47000000
1997,14000000
1998,13000000
1999,100000000
2000,39500000.01
2001,30000000
2002,12000000
2003,13000000
2004,16000000
2005,82000000.01
2006,274499999.9
2007,28000000
2008,963000000
2009,12000000
2010,51000000
2011,25000000
2012,491000000
2013,976000000
2014,17000000
2015,295000000
2016,49500000.02
2017,72999999.99
2018,91000000
2019,59000000
2021,16000000
2022,20000000
2023,27000000
2024,129000000
2025,45000000
2026,116394642.8
2027,28000000
2028,269000000
2029,399000000
2030,34000000.02
2031,122000000
2032,29000000
2033,13000000
2034,113000000
2035,28000000
2036,139000000
2038,93000000
2039,688000000
2040,57000000
2041,28000000
2042,15000000
2043,22000000
2044,18000000
2045,366000000
2046,11000000
2047,869000000
2049,47000000
2050,115000000
2051,30000000
2052,49000000
2053,27000000
2054,12000000
2055,37000000
2056,12000000
2058,32000000
2059,190000000
2060,112000000
2061,35000000
2062,219000000
2063,24000000
2064,63000000
2065,16000000
2066,21000000
2067,248000000
2068,341000000
2069,144000000
2070,116000000
2071,158000000
2072,26000000
2073,17000000
2074,1693000000
2075,35000000
2079,89999999.98
2080,225000000
2081,73000000
2082,625000000
2083,176000000
2084,16000000
2086,16000000
2087,86000000
2088,44000000
2089,49000000
2093,43000000
2094,132000000
2095,14000000
2096,11000000
2097,36999999.98
2099,131000000
2100,432000000
2101,92000000.01
2102,91000000
2103,15000000
2104,16000000
2105,11000000
2106,47000000
2107,119000000
2108,21000000
2109,32999999.96
2110,41000000
2111,129000000
2112,37000000
2113,10000000
2115,30000000
2116,149000000
2117,417000000
2118,34000000
2119,134000000
2120,56000000
2121,14000000
2122,65499999.99
2124,23000000
2125,26000000
2126,16000000
2128,105000000
2129,12000000
2130,13500000
2131,40000000
2132,17000000
2134,194000000
2135,256000000
2136,4164000000
2137,969000000
2140,12000000
2142,87000000
2144,307000000
2145,118000000
2147,12000000
2149,151000000
2150,151000000
2151,82000000
2152,346999999.9
2153,152000000
2154,22000000
2156,859000000
2157,39000000
2159,160000000
2160,10000000
2161,485000000
2162,82000000
2163,26000000
2165,101000000
2166,20999999.99
2167,263000000
2168,48000000.01
2170,38500000.01
2171,220000000
2174,352000000
2176,2145000000
2177,152000000
2178,469000000
2179,54000000
2180,462000000
2181,577000000
2182,30000000
2183,126000000
2184,32000000
2185,69000000
2186,15000000
2187,19000000
2188,130500000
2190,37000000
2191,90000000
2192,22000000
2195,17000000
2196,21000000
2197,13000000
2198,19000000
2199,150000000
2200,11000000
2202,35000000
2204,93500000
2205,116000000
2206,16000000
2207,694000000
2208,763000000
2209,19000000
2210,12000000
2211,183000000
2214,78000000
2215,161000000
2216,28000000.01
2218,65000000
2219,554000000
2220,239000000
2221,211000000
2222,11000000
2223,40000000.02
2227,24000000
2229,86999999.98
2230,1377000000
2231,644000000
2232,14000000
2234,152000000
2235,10000000
2237,1049000000
2238,27000000
2239,98000000
2240,282000000
2242,39000000
2245,60000000
2246,52000000
2247,14000000
2249,33500000
2250,773000000
2251,1512000000
2252,98000000
2253,83000000
2254,172000000
2256,1875000000
2258,31000000
2259,28999999.99
2260,1331000000
2261,47000000
2262,343000000
2263,102000000
2264,27999999.99
2265,46000000
2269,1159000000
2270,17000000
2271,45999999.99
2272,499000000
2273,19000000
2274,11000000
2275,610000000
2276,17000000
2277,84000000
2278,613000000
2279,33000000
2281,123000000
2282,101000000
2283,100000000
2284,10999999.99
2285,27000000
2286,17000000
2288,236000000
2289,35000000.02
2290,459000000
2291,637000000
2292,272000000
2293,336000000
2294,2825000000
2295,1624000000
2297,1612000000
2298,267000000
2299,11000000
2300,31000000
2302,25000000
2303,985000000
2304,246000000
2305,42000000.01
2306,639000000
2307,277000000
2308,148000000
2309,341000000
2310,206000000
2311,337000000
2313,399000000
2314,331000000
2315,342000000
2317,177000000
2320,34000000
2340,251000000
2341,92999999.99
2342,71000000
2343,21000000
2344,769000000
2345,36500000
2346,322000000
2347,113000000
2348,43000000
2349,389000000
2350,199000000
2351,98000000
2352,52000000
2353,16000000
2354,25000000
2356,14000000
2357,25000000
2360,399000000
2361,809220853.9
2363,262000000
2364,17500000
2366,12000000
2367,49000000.01
2368,334000000
2369,10000000
2370,105000000
2372,123000000
2373,30464054.5
2374,13000000
2375,106000000
2376,182000000
2377,74000000
2378,613422.4608
2379,57000000
2380,97000000
2381,288000000
2382,238000000
2383,291701671.2
2384,71452292.63
2385,13000000
2386,3359000000
2387,15000000
2389,116000000
2390,383000000
2391,118000000
2392,24000000
2393,75940695.21
2394,84000000
2395,333000000
2396,11000000.01
2397,80499999.98
2398,59098218.12
2400,50000000
2401,1733071217
2402,257000000
2403,18616.41547
2404,41000000
2406,8138233.924
2407,21000000
2408,586000000
2409,38000000
2410,17210114.72
2411,7012499.016
2412,99000000
2413,59966830.81
2414,50000000
2415,42000000
2417,54000000
2419,42000000
2420,40000000
2422,55000000
2423,151000000
2425,247000000
2426,12000000
2427,121000000
2428,1859000000
2429,1110000000
2432,11000000
2433,51000000
2434,125000000
2435,57000000
2437,169000000
2438,19000000
2439,261000000
2440,4087000000
2442,310000000
2443,259000000
2444,31000000
2445,117000000
2446,11000000.01
2447,97999999.97
2448,12000000
2450,23750000
2451,188000000
2452,14000000
2453,72000000.05
2454,188000000
2455,38999999.99
2456,280000000
2457,378000000.1
2458,151000000
2460,94000000
2461,29000000
2462,136000000
2464,306000000
2466,250000000
2467,83000000
2468,170000000
2469,100000000
2470,164000000
2472,455000000
2474,12000000
2476,13000000
2477,19000000
2479,65000000
2480,16000000
2481,38000000
2482,3966500000
2483,56000000
2484,156000000
2485,12000000
2486,283000000
2487,27000000.01
2488,92000000
2489,125000000
2490,13000000
2491,309000000
2492,224000000
2493,29000000
