Cores,Mean
1769,12.28
1770,12.07
1771,12.05
1772,12
1773,12.87
1775,12.23
1776,12.43
1778,12.48
1779,12.19
1780,12.6
1781,12.28
1782,12.52
1783,12.11
1784,12.83
1785,12.07
1786,12.39
1787,12.27
1788,12.06
1790,12.05
1791,12.58
1792,12.08
1794,12.5
1795,12.47
1796,12.27
1797,12.34
1798,12.13
1799,11.99
1801,12.28
1802,12.33
1803,12.36
1804,11.52
1805,12.02
1806,12.8
1807,12.41
1808,11.81
1809,12.57
1810,12.02
1811,12.21
1812,12.42
1813,12.95
1814,12.42
1815,12.32
1816,12.32
1817,12.14
1818,12.3
1819,11.67
1820,12.08
1822,12.46
1823,12.92
1824,11.87
1825,12.11
1826,12.16
1828,12.27
1829,12.33
1830,12.54
1831,12.47
1832,12.47
1833,12.79
1834,12.66
1835,12.04
1836,12.85
1837,12.64
1838,12.7
1839,12.11
1840,12.16
1842,12.06
1843,12.13
1844,12.69
1845,12.41
1846,12.43
1847,12.51
1848,12.21
1850,12.85
1851,11.99
1852,12.27
1853,13.36
1854,12.81
1855,12.83
1856,12.21
1857,12.29
1858,12.37
1860,12.49
1861,12.3
1862,11.73
1863,11.27
1864,12.11
1865,12.15
1866,12.42
1867,12.46
1868,12.51
1870,12.93
1871,12.91
1872,12.77
1873,12.11
1875,12.16
1876,12.33
1877,12.73
1878,12.74
1879,12.75
1880,12.71
1881,12.56
1882,12.48
1883,12.56
1884,12.45
1885,12.89
1886,12.95
1887,12.74
1888,12.25
1889,12.35
1891,12.43
1892,12.67
1893,12.79
1894,12.17
1895,12.58
1896,12.37
1897,12.91
1899,12.57
1900,12.47
1901,12.32
1902,12.4
1903,12.83
1904,12.31
1905,10.46
1906,12.51
1907,12.34
1908,12.05
1909,12.43
1910,12.32
1912,12.39
1913,12.88
1914,12.81
1915,12.38
1916,12.9
1917,12.99
1918,12.63
1919,12.79
1920,12.91
1921,11.92
1922,12.89
1923,12.61
1924,12.07
1925,12.98
1926,11.96
1927,12.14
1929,12.33
1930,12.93
1931,12.43
1932,12.4
1933,12.48
1934,12.38
1935,12.64
1936,12.81
1937,12.63
1938,12.02
1939,12.39
1940,14.19
1942,12.81
1943,12.16
1944,12.94
1946,12.95
1947,12.49
1949,12.83
1950,12.38
1952,12.77
1954,12.57
1955,12.9
1957,12.43
1958,12.19
1959,11.69
1960,12.83
1961,12.9
1962,12.89
1963,12.78
1964,12.93
1965,12.37
1966,12.74
1967,12.74
1968,12.61
1969,12.09
1970,12.65
1971,12.67
1972,12.76
1973,12.82
1974,12.58
1975,12.64
1976,12.42
1977,13.05
1978,12.43
1979,12.9
1980,12.93
1981,12.82
1983,12.54
1984,12.8
1985,12.7
1988,12.99
1989,12.93
1990,12.76
1991,12.93
1992,12.98
1993,12.51
1994,12.49
1995,12.11
1996,12.75
1997,12.56
1998,12.03
1999,12.81
2000,12.96
2001,12.64
2002,12.92
2003,13.01
2004,12.39
2005,11.78
2006,12.4
2007,12.91
2008,12.57
2009,12.78
2010,12.11
2011,12.27
2012,12.24
2013,12.26
2014,11.78
2015,12.79
2016,12.04
2017,12.55
2018,12.62
2019,10.97
2021,12.83
2022,12.73
2023,12.7
2024,12.15
2025,12.89
2026,12.41
2027,12.95
2028,12.91
2029,12.67
2030,12.45
2031,12.87
2032,12.39
2033,11.68
2034,12.63
2035,12.6
2036,12.76
2038,12.86
2039,12.7
2040,12.99
2041,12.88
2042,12.95
2043,12.65
2044,12.61
2045,12.67
2046,12.83
2047,12.57
2049,12.37
2050,12.65
2051,12.7
2052,12.8
2053,11.98
2054,12.76
2055,12.77
2056,12.23
2058,12.96
2059,12.28
2060,12.78
2061,12.93
2062,12.89
2063,12.98
2064,12.57
2065,12.78
2066,12.83
2067,12.58
2068,12.27
2069,12.57
2070,12.95
2071,12.86
2072,12.67
2073,12.86
2074,12.33
2075,12.76
2079,12.95
2080,12.6
2081,12.67
2082,12.59
2083,13.72
2084,12.48
2086,11.89
2087,12.51
2088,12.84
2089,12.92
2093,12.66
2094,12.81
2095,11.49
2096,12.58
2097,12.98
2099,12.79
2100,12.4
2101,12.9
2102,12.45
2103,10.83
2104,12.71
2105,12.89
2106,12.86
2107,12.04
2108,12.04
2109,12.35
2110,12.42
2111,12.92
2112,12.66
2113,12.92
2115,12.38
2116,12.6
2117,12.21
2118,12.09
2119,12.89
2120,12.86
2121,12.77
2122,12.94
2124,12.97
2125,12.99
2126,11.77
2128,12.71
2129,12.33
2130,12.31
2131,12.77
2132,12.98
2134,12.4
2135,12.94
2136,12.52
2137,12.49
2140,13.04
2142,12.97
2144,12.38
2145,12.12
2147,13.04
2149,12.86
2150,12.69
2151,13.05
2152,12.39
2153,12.23
2154,12.75
2156,12.51
2157,12.99
2159,11.89
2160,12.09
2161,12.27
2162,12.25
2163,12.06
2165,12.48
2166,12.52
2167,12.66
2168,12.43
2170,12.29
2171,11.92
2172,12.34
2173,12.22
2174,12.33
2176,12.48
2177,11.6
2178,12.59
2179,12.68
2180,12.4
2181,12.72
2182,11.99
2183,11.66
2184,12.95
2185,12.66
2186,12.76
2187,12.43
2188,12.87
2190,11.82
2191,12.52
2192,12.09
2195,11.68
2196,12.91
2197,12.51
2198,12.35
2199,12.41
2200,11.43
2202,12.67
2204,12.53
2205,12.11
2206,12.91
2207,12.3
2208,12.84
2209,12.76
2210,12.98
2211,12.61
2214,12.54
2215,12.54
2216,12.35
2218,12.61
2219,12.23
2220,12.79
2221,12.33
2222,11.85
2223,12.08
2227,11.87
2229,12.52
2230,12.59
2231,12.67
2232,11.92
2234,12.33
2235,12.07
2237,12.46
2238,12.79
2239,12.9
2240,12.52
2242,12.53
2245,12.15
2246,12.29
2247,10.87
2249,13.07
2250,12.3
2251,12.36
2252,12.35
2253,12.2
2254,12.12
2256,12.51
2258,12.52
2259,12.11
2260,12.57
2261,12.36
2262,12.14
2263,12.41
2264,11.83
2265,12.28
2269,12.36
2270,11.46
2271,12.47
2272,12.41
2273,12.64
2274,12.78
2275,12.58
2276,11.41
2277,11.59
2278,12.66
2279,12.08
2281,12.76
2282,11.95
2283,11.08
2284,12.26
2285,12.11
2286,12.62
2288,12.76
2289,12.07
2290,12.7
2291,12.51
2292,12.6
2293,12.59
2294,12.57
2295,12.52
2297,12.47
2298,12.63
2299,12.44
2300,10.47
2302,12.88
2303,12.45
2304,12.6
2305,13.08
2306,12.33
2307,12.54
2308,12.27
2309,12.59
2310,12.32
2311,12.63
2313,12.44
2314,12.55
2315,12.26
2316,12.34
2317,12.14
2318,11.89
2319,12.4
2320,12.25
2322,12.52
2323,12.65
2324,11.81
2326,12.41
2327,12.28
2328,12.27
2329,12.4
2331,12.88
2332,12.03
2333,12.41
2334,12.25
2335,13.1
2336,11.63
2337,12.56
2338,12.46
2339,11.88
2340,13.45
2341,12.96
2342,13.88
2343,13.1
2344,13.68
2345,13.55
2346,13.49
2347,13.84
2348,14.05
2349,13.66
2350,13.63
2351,13.63
2352,13.19
2353,13.82
2354,13.25
2356,13.44
2357,13.27
2360,13.39
2361,13.24
2363,13.31
2364,13.43
2366,13.75
2367,13.55
2368,13.66
2369,13.95
2370,13.57
2372,13.65
2373,13
2374,13.02
2375,13.6
2376,13.68
2377,13.13
2378,13
2379,12.82
2380,13.13
2381,13.53
2382,13.63
2383,13.69
2384,13.09
2385,13.32
2386,13.49
2387,12.87
2389,13.86
2390,13.77
2391,13.71
2392,13.19
2393,12.87
2394,13.17
2395,13.42
2396,12.96
2397,13.21
2398,13.71
2400,13.47
2401,13.46
2402,13.53
2403,0
2404,13.4
2406,13.4
2407,13.76
2408,13.57
2409,13.03
2410,13.96
2411,13.8
2412,13.77
2413,13.84
2414,13.44
2415,13.3
2417,13.4
2419,13.87
2420,12.93
2422,13.07
2423,13.69
2425,13.38
2426,13.23
2427,14.38
2428,13.45
2429,13.49
2432,12.49
2433,13.32
2434,13.25
2435,13.37
2437,13.33
2438,13.47
2439,13.3
2440,13.57
2442,13.4
2443,13.36
2444,13.21
2445,13.36
2446,13.85
2447,15.02
2448,14.51
2450,14.51
2451,13.28
2452,13.42
2453,13.87
2454,13.13
2455,13.17
2456,13.18
2457,13.6
2458,13.24
2460,13.05
2461,13.73
2462,13.58
2464,13.3
2466,13.92
2467,13.36
2468,13.33
2469,13.66
2470,13.39
2472,13.25
2474,13.33
2476,13.08
2477,13.07
2479,13.09
2480,13.26
2481,13.29
2482,13.47
2483,13.24
2484,13.51
2485,13.78
2486,13.34
2487,11.44
2488,12.3
2489,12.97
2490,13.28
2491,13.69
2492,13.22
2493,13.91
2494,13.67
2495,13.68
2496,13.58
2497,12.98
2498,13.3
2499,12.99
2500,13.16
2501,13.36
2502,13.27
2503,13.26
2504,13.14
2505,13.17
2507,13.27
2508,13.01
2509,13.08
2510,13.75
2512,13.53
