"","Core","Final_Temp","Final_Core","Final_Cost","EucDist","PathDist","CostToEuc","CostToPath"
"227",314,9.7,314,0,0,0,0,0
"228",315,8.54,13297,15571150.59,283138.56,311745,54.99480745399,49.948357118799
"229",316,10.58,316,0,0,0,0,0
"230",317,10.19,317,0,0,0,0,0
"231",318,8.74,13325,9330748.22,170862.03,194063,54.6098405830716,48.0810263677259
"232",319,10.28,275,1734296.38,31906.11,35041,54.3562464994949,49.4933472218259
"233",320,-1.64,14654,1204452,12609.45,15484,95.5197887298812,77.7868767760269
"234",321,8.74,13325,9215125.66,168275.7,189579,54.7620699839608,48.6083672769663
"235",322,9.51,14146,4729948.06,92533.15,100296,51.1162546611674,47.1598873334929
"236",323,10.18,323,0,0,0,0,0
"237",324,9.92,14297,613954.19,9954.06,10484,61.6787712752384,58.561063525372
"238",325,9.92,14297,328636.41,5000,5828,65.727282,56.3892261496225
"239",326,9.98,307,1272248.13,26172.5,28213,48.6101109943643,45.0943937192075
"240",327,-2.94,14721,7432315,121263.07,133705,61.2908365259102,55.5874125874126
"241",328,-1.64,14654,1204452,12609.45,15484,95.5197887298812,77.7868767760269
"242",329,-1.64,14654,1204452,12609.45,15484,95.5197887298812,77.7868767760269
"243",330,8.35,13380,11035598.11,200593.92,219976,55.0146191370107,50.1672823853511
"244",331,10.44,331,0,0,0,0,0
"245",332,8.74,13325,9702908.91,177495.24,200235,54.6657415150964,48.4576068619372
"246",333,10.31,341,269692.91,4123.11,4828,65.4100690983263,55.8601719138359
"247",334,9.9,14142,3977640.88,76855.49,85354,51.7548047641099,46.6016927150456
"248",335,9.92,14297,923515.66,14954.06,16726,61.7568513166324,55.214376419945
"249",336,9.92,14297,345618.75,5830.95,6242,59.2731458853189,55.3698734380006
"250",337,7.47,12624,3419677.38,51369.44,56111,66.5702678479656,60.9448660690417
"251",338,7.17,12609,961368.88,13123.11,14312,73.2577018709742,67.17222470654
"252",339,7.17,12609,676283.13,9000,10070,75.14257,67.1582055610725
"253",340,2.21,7971,0,0,0,0,0
"254",341,10.31,341,0,0,0,0,0
"255",342,-0.93,3879,0,0,0,0,0
"256",343,9.92,14297,765859.22,10000,11484,76.585922,66.6892389411355
"257",344,-0.72,14771,0,0,0,0,0
"258",345,9.92,14297,888896.63,14077.17,14898,63.1445546228397,59.6655007383541
"259",346,7.17,12609,2201918.3,27667.21,33625,79.5858454827935,65.4845591078067
"260",348,9.51,14146,3828337.75,74813.1,81225,51.1720240171841,47.1325053862727
"261",349,9.14,14145,4981342.41,87167.89,95223,57.1465296452627,52.3123868183107
"262",350,9.14,14145,4415114.85,76969.85,83981,57.3616143204125,52.5727825341446
"263",351,9.9,14142,5324147.63,105855.49,117395,50.2963769758186,45.3524224200349
"264",352,8.74,13325,12176371.16,229696.77,257933,53.0106329314078,47.2074963653352
"265",353,9.14,14145,5242792.85,92969.85,101223,56.3923987185093,51.7944819853195
"266",354,9.92,14297,1072963.88,15000,17140,71.5309253333333,62.5999929988331
"267",355,10.51,286,614152.13,12083.05,13485,50.8275749914136,45.543354097145
"268",356,8.74,13325,9979336.41,183507.25,206064,54.3811561123607,48.4283349347775
"269",357,7.47,12624,2973906.09,44334.31,47282,67.0791107383875,62.8972143733345
"270",358,9.14,14145,5460606.6,97167.89,105223,56.1976451274181,51.8955608564667
"271",359,9.14,14145,5058651.95,92364.3,100809,54.7684760237451,50.1805587794741
"272",360,9.92,14297,524183.61,7828.43,9242,66.9589700616854,56.7175513958018
"273",361,9.9,14142,3101130.25,61032.78,66698,50.8108962102005,46.4951010525053
"274",362,1.49,3823,259559.75,3162.28,3414,82.0799391578228,76.0280462800234
"275",363,-0.93,3879,182932,2236.07,3414,81.8096034560635,53.5828939660223
"276",365,9.92,14297,1823468.05,28433.98,31625,64.1298914186477,57.6590687747035
"277",366,7.17,12609,727752.38,9385.16,10414,77.5428847243947,69.8821183022854
"278",367,7.17,12609,1603212.17,18447.67,23554,86.90594367744,68.0653888936062
"279",368,9.14,14145,5294175.35,92167.89,100879,57.4405614580089,52.4804503414982
"280",369,10.31,341,1386971.66,25213.2,26213,55.0097433090603,52.9115957730897
"281",370,9.92,14297,1305990.24,19000,21140,68.7363284210526,61.7781570482498
"282",371,9.92,14297,1620347.82,25816.65,29039,62.7636746053419,55.7990226936189
"283",372,7.17,12609,286500.66,4000,4414,71.625165,64.907263253285
"284",373,7.17,12609,1805507.08,20772.23,26382,86.9192705838516,68.4370813433402
"285",374,7.17,12609,1869906.39,22447.67,27554,83.3006895593173,67.863337083545
"286",375,10.74,375,0,0,0,0,0
"287",376,9.92,14297,723783.34,10656.86,12070,67.9171294358751,59.9654797017398
"288",377,7.59,12429,2393826.09,38243.82,40625,62.5938018220983,58.9249499076923
"289",378,10.4,283,2320049.5,47801.67,52941,48.5349047428678,43.8233032998999
"290",379,7.59,12429,2668196.53,44919.26,48625,59.3998327220885,54.8729363496144
"291",380,1.49,3823,259559.75,3162.28,3414,82.0799391578228,76.0280462800234
"292",381,7.59,12429,3123854.94,53723.75,57282,58.146628632588,54.5346695296952
"293",382,7.59,12429,2773893.47,48682.31,52453,56.9794956319862,52.8834093378834
"294",383,8.54,13297,16119963.84,294587.16,326745,54.7205242753961,49.3349977505394
"295",384,10.55,384,0,0,0,0,0
"296",386,7.59,12429,2223820.94,35919.26,37969,61.9116579795909,58.5693839711343
"297",387,10.4,283,1339628.13,26476.4,28485,50.5970649332991,47.0292480252765
"298",388,7.59,12429,3294491.09,56243.82,59453,58.5751659471209,55.4133700570198
"299",389,-1.64,14654,1395188,15437.88,18898,90.3743260084934,73.8272833104032
"300",390,7.59,12429,3508509.47,62098.72,67352,56.4989015876656,52.0921349031952
"301",391,8.74,13325,11101904.16,207495.24,232720,53.5043799558968,47.7049852182881
"302",392,9.14,14145,5335591.2,96487.41,105223,55.2983150858749,50.7074612964846
"303",393,9.14,14145,5395132.67,98021.15,106465,55.0404955461143,50.6751765368901
"304",394,7.17,12609,1154005.22,17989.15,20898,64.1500693473566,55.2208450569432
"305",396,10.09,414,663048,12206.56,12899,54.3189891337117,51.4030545003489
"306",397,9.92,14297,1021424.9,14899.5,17312,68.5543071915165,59.0009762014787
"307",398,8.89,14383,343300.56,4000,4414,85.82514,77.7753874037155
"308",399,7.17,12609,2441370.74,29651.54,35867,82.3353775217071,68.0673248389885
"309",400,7.17,12609,1548205.36,17609.95,22554,87.9165108362034,68.6443805976767
"310",401,-2.94,14721,7634591,125505.71,137947,60.8306267499702,55.3443786381726
"311",402,-2.94,14721,7879849,129748.35,143190,60.7317857992028,55.0307214190935
"312",404,8.54,13297,16544410.34,302538.78,332431,54.6852550274712,49.7679528684148
"313",405,7.17,12609,1352044.97,17527.53,18898,77.13836290681,71.5443417292835
"314",406,1.49,3823,259559.75,3162.28,3414,82.0799391578228,76.0280462800234
"315",407,1.49,3823,431456.75,5398.35,6242,79.9238193151611,69.1215555911567
"316",408,-3.14,14712,4399642,72584.5,81007,60.6140704971447,54.3118742824694
"317",409,7.17,12609,2328012.39,32178.44,34554,72.346962438204,67.3731663483244
"318",410,8.78,13644,1580095,32253.12,37040,48.9904542568285,42.6591522678186
"319",411,-5.29,14735,436941,5828.43,6828,74.967186703795,63.9925307557118
"320",412,-5.29,14735,212456,3000,3000,70.8186666666667,70.8186666666667
"321",413,7.59,12429,4293462.09,74601.38,80352,57.5520464902928,53.4331701762246
"322",414,10.09,414,0,0,0,0,0
"323",415,10.24,415,0,0,0,0,0
"324",416,10.44,331,144258.91,2236.07,2414,64.5144874713225,59.7592833471417
"325",417,10.74,375,350246.75,5099.02,5828,68.6890324023047,60.0972460535347
"326",418,7.17,12609,2068227.47,28572.89,30726,72.3842589951524,67.3119660873527
"327",419,-0.93,3879,0,0,0,0,0
"328",420,7.59,12429,4196769.09,75243.82,79281,55.7755984478194,52.935370265259
"329",421,7.59,12429,3962854.94,72750.05,77524,54.4721954142987,51.1177821061865
"330",422,9.14,14145,6122530.26,112979.83,123294,54.1913566341886,49.6579741106623
"331",423,7.17,12609,697682.72,7285.39,8242,95.7646357984953,84.6496869691822
"332",424,10.31,341,1182760.5,21213.2,22213,55.7558737012803,53.2463197226849
"333",425,10.24,415,295121.06,5000,5000,59.024212,59.024212
"334",426,10.4,283,2379089.75,50990.2,56112,46.6577842408933,42.3989476404334
"335",428,7.59,12429,3159208.94,54919.26,57797,57.5246086709835,54.6604311642473
"336",429,7.59,12429,4597307.47,85098.72,92423,54.0232270238612,49.742028174805
"337",430,10.09,414,633692,11704.7,14485,54.1399608704196,43.7481532619952
"338",431,7.17,12609,373007.5,4123.11,4414,90.4675111748171,84.5055505210693
"339",432,-2.94,14721,8188242,134748.35,149018,60.7669184817477,54.9480062811204
"340",433,-3.14,14712,4669597,77584.5,86007,60.1872410081911,54.2932203192763
